Site,Code site,Branche,Chargé d'exploitation,Energie,Semaine de l'alerte,Mois de l'alerte,Date d'envoi de l'alerte au client ,Client alerté,Chargé d'analyse BO ,Période Talon ,Talon ref ,Début surconsommation ,Fin surconsommation ,Talon surconso identifié,DP Surconso (kW),Nb d'heures,Nb nuits/jours concernés,Impact conso (kWh),Type d'impact,% Surconso,Période d'alerte,Type de surconso,Catégorie
REIMS,MO0056,SES8,RL,Electricité,5,2, ,0,ZN,Hiver,50,2023-02-01,2023-02-04,65,15.0,1.0,3,45.0,Récurrent,0.3,Nuit,Impact Client,CVC
TOLBIAC,MO0049,SES8,RL,Electricité,5,2, ,0,ZN,Hiver,50,2023-02-01,2023-02-05,65,15.0,8.0,4,480.0,Récurrent,0.3,Nuit,Impact Client,CVC
VANNES,MO0168,SES8,AL,Electricité,5,2, ,0,ZN,Hiver,50,2023-02-01,2023-02-04,65,15.0,4.0,1,60.0,Récurrent,0.3,Nuit,Impact Client,CVC
TOLBIAC,MO0049,SES8,RL,Electricité,6,2, ,0,ZN,Hiver,50,2023-02-05,2023-02-12,65,15.0,8.0,7,840.0,Récurrent,0.3,Nuit,Impact Client,CVC
TOLBIAC,MO0049,SES8,RL,Electricité,7,2, ,0,HH,Hiver,50,2023-02-12,2023-02-19,65,15.0,7.0,7,735.0,Récurrent,0.3,Nuit,Impact Client,CVC
TOLBIAC,MO0049,SES8,RL,Electricité,8,2, ,0,HH,Hiver,50,2023-02-19,2023-02-26,65,15.0,7.0,7,735.0,Récurrent,0.3,Nuit,Impact Client,CVC
Nice Garibaldi,MO2764,Monoprix,RL,Electricité,9,2, ,0,ZN,Hiver,50,2023-02-27,2023-02-28,65,15.0,5.0,1,75.0,Récurrent,0.3,Nuit,Impact Client,Eclairage
MONTREUIL,MO0522,SES8,RL,Electricité,9,3, ,0,HH,Mi-saison,95,2023-03-05,2023-03-05,130,35.0,8.0,1,280.0,Récurrent,0.3684210526315789,Dim,Impact Client,Changement de comportement
SAINT QUENTIN,MO0051,Monoprix,RL,Electricité,10,3, ,0,ZN,Mi-saison,50,2023-03-12,2023-03-12,65,15.0,6.0,1,90.0,Récurrent,0.3,Dim,Impact Client,Changement de comportement
NANCY ST SEBASTIEN,MO0041,SES8,RL,Electricité,2,1, ,0,SB,Hiver,85,2023-01-08,2023-01-09,110,25.0,9.0,1,225.0,Récurrent,0.29411764705882354,Nuit,Impact Client,Eclairage
MOZART,MO1321,SES8,AL,Electricité,6,2, ,0,ZN,Hiver,35,2023-02-08,2023-02-11,55,20.0,6.0,3,360.0,Récurrent,0.5714285714285714,Nuit,A définir, 
NANCY ST SEBASTIEN,MO0041,SES8,RL,Electricité,3,1, ,0,SB,Hiver,85,2023-01-22,2023-01-22,110,25.0,4.0,1,100.0,Récurrent,0.29411764705882354,Dim,Impact Client,CVC
MOULINS LES HALLES,MO2321,SES8,AL,Electricité,9,2, ,0,HH,Hiver,35,2023-02-27,2023-03-01,55,20.0,8.0,2,320.0,Récurrent,0.5714285714285714,Nuit,A définir,
Dames,MO0171,Monoprix,AL,Electricité,6,2, ,0,SB,Hiver,85,2023-02-05,2023-02-12,110,25.0,1.0,7,175.0,Récurrent,0.29411764705882354,Nuit,Impact Client,Changement de comportement
NANCY ST SEBASTIEN,MO0041,SES8,RL,Electricité,9,3, ,0,HH,Mi-saison,85,2023-03-01,2023-03-05,110,25.0,7.0,4,700.0,Récurrent,0.29411764705882354,Nuit,Impact Client,CVC
NANCY ST SEBASTIEN,MO0041,SES8,RL,Electricité,9,3, ,0,HH,Mi-saison,85,2023-03-05,2023-03-05,110,25.0,17.0,1,425.0,Récurrent,0.29411764705882354,Dim,Impact Client,CVC
NANCY ST SEBASTIEN,MO0041,SES8,RL,Electricité,10,3, ,0,HH,Mi-saison,85,2023-03-05,2023-03-12,110,25.0,6.0,7,1050.0,Récurrent,0.29411764705882354,Nuit,Impact Client,CVC
LE PRÉ ST GERVAIS,MO2320,Monoprix,RL,Electricité,0,1, ,0,SB,Hiver,35,2023-01-01,2023-01-01,45,10.0,8.0,1,80.0,Récurrent,0.2857142857142857,Dim,Impact Client,CVC
AIX SEXTIUS,MO0108,SES8,RL,Electricité,1,1, ,0,SB,Hiver,70,2023-01-05,2023-01-06,90,20.0,3.0,1,60.0,Récurrent,0.2857142857142857,Nuit,Impact Client,Eclairage
ANNECY COURRIER,MO0332,SES8,RL,Electricité,5,2, ,0,ZN,Hiver,110,2023-02-04,2023-02-05,145,35.0,9.0,1,315.0,Récurrent,0.3181818181818182,Nuit,A définir, 
AIX SEXTIUS,MO0108,SES8,RL,Electricité,1,1, ,0,SB,Hiver,70,2023-01-07,2023-01-08,90,20.0,3.0,1,60.0,Récurrent,0.2857142857142857,Nuit,Impact Client,Eclairage
MOULINS LES HALLES,MO2321,SES8,AL,Electricité,1,1, ,0,SB,Hiver,35,2023-01-02,2023-01-08,45,10.0,3.0,6,180.0,Récurrent,0.2857142857142857,Nuit,Impact Client,CVC
LE PRÉ ST GERVAIS,MO2320,Monoprix,RL,Electricité,1,1, ,0,SB,Hiver,35,2023-01-01,2023-01-07,45,10.0,8.0,6,480.0,Récurrent,0.2857142857142857,Nuit,Impact Client,CVC
BELFORT,MO0327,Monoprix,RL,Electricité,2,1, ,0,SB,Hiver,35,2023-01-13,2023-01-14,45,10.0,10.0,1,100.0,Récurrent,0.2857142857142857,Nuit,Impact Client,CVC
MOZART,MO1321,SES8,AL,Electricité,2,1, ,0,SB,Hiver,35,2023-01-08,2023-01-14,45,10.0,7.0,6,420.0,Récurrent,0.2857142857142857,Nuit,Impact Client,CVC
MOZART,MO1321,SES8,AL,Electricité,2,1, ,0,SB,Hiver,35,2023-01-14,2023-01-15,45,10.0,8.0,1,80.0,Récurrent,0.2857142857142857,Nuit,Impact Client,CVC
LE PRÉ ST GERVAIS,MO2320,Monoprix,RL,Electricité,2,1, ,0,SB,Hiver,35,2023-01-14,2023-01-15,45,10.0,8.0,1,80.0,Récurrent,0.2857142857142857,Nuit,Impact Client,CVC
SANNOIS,MO0154,Monoprix,AL,Electricité,2,1, ,0,SB,Hiver,35,2023-01-08,2023-01-14,45,10.0,10.0,6,600.0,Récurrent,0.2857142857142857,Nuit,Impact Client,CVC
TOUT VA BIEN,MO1133,Monoprix,RL,Electricité,2,1, ,0,SB,Hiver,35,2023-01-13,2023-01-14,45,10.0,6.0,1,60.0,Récurrent,0.2857142857142857,Nuit,Impact Client,CVC
